RA;TURMA;TURMA_NOME
11002112;NA1BHQ0004-19SB;Estudos de Gênero A1-Noturno (São Bernardo)
11002112;NA1BHP0001-15SB;Ética e Justiça A1-Noturno (São Bernardo)
11002112;NA1BHQ0001-15SB;Identidade e Cultura A1-Noturno (São Bernardo)
11002112;NA1BHS0005-19SB;Práticas em Ciências e Humanidades A1-Noturno (São Bernardo)
11202130002;NB2BCJ0205-15SB;Fenômenos Térmicos B2-Noturno (São Bernardo)
11202130002;DB2BCN0407-15SB;Funções de Várias Variáveis B2-Matutino (São Bernardo)
11202130002;DB1BCM0505-15SB;Processamento da Informação B1-Matutino (São Bernardo)
11202130002;DB1BCL0307-15SB;Transformações Químicas B1-Matutino (São Bernardo)
11202112038;NA1BIR0004-15SB;Bases Epistemológicas da Ciência Moderna A1-Noturno (São Bernardo)
11202112038;NB1BCL0306-15SA;Biodiversidade: Interações entre organismos e ambiente B1-Noturno (Santo André)
11202112038;NC1NHT5004-15SA;Educação Científica, Sociedade e Cultura C1-Noturno (Santo André)
11201921240;DA1BCJ0204-15SA;Fenômenos Mecânicos A1-Matutino (Santo André)
11201921240;DB1BCN0402-15SA;Funções de Uma Variável B1-Matutino (Santo André)
11201921240;NA1ESTO011-17SA;Fundamentos de Desenho Técnico A1-Noturno (Santo André)
11201921240;NA1BIN0406-15SB;Introdução à Probabilidade e à Estatística A1-Noturno (São Bernardo)
11201921240;DC1ESTO005-17SA;Introdução às Engenharias C1-Matutino (Santo André)
21077113;NAMCTD024-18SA;Análise na Educação Básica A-Noturno (Santo André)
21077113;NAMCTB014-17SA;Extensões Algébricas A-Noturno (Santo André)
21077113;NAMCZB016-13SA;Introdução à Estatística Bayesiana A-Noturno (Santo André)
21077113;NAMCTB020-17SA;Teoria da Medida e Integração A-Noturno (Santo André)
11202021033;NB4BCS0001-15SA;Base Experimental das Ciências Naturais B4-Noturno (Santo André)
11202021033;NB3BCK0104-15SA;Interações Atômicas e Moleculares B3-Noturno (Santo André)
11202130004;NA3BCS0001-15SB;Base Experimental das Ciências Naturais A3-Noturno (São Bernardo)
11202130004;DA6BCJ0205-15SA;Fenômenos Térmicos A6-Matutino (Santo André)
11202130004;DA2BCN0407-15SA;Funções de Várias Variáveis A2-Matutino (Santo André)
11202130004;DA2BCK0104-15SA;Interações Atômicas e Moleculares A2-Matutino (Santo André)
11202130004;DA3BCM0505-15SA;Processamento da Informação A3-Matutino (Santo André)
11202111469;DA1BIS0003-15SB;Bases Matemáticas A1-Matutino (São Bernardo)
11202111469;DA1BHQ0002-15SB;Estudos Étnico-Raciais A1-Matutino (São Bernardo)
11202111469;DA2BHP0001-15SB;Ética e Justiça A2-Matutino (São Bernardo)
11202111469;DA1BHQ0301-15SB;Território e Sociedade A1-Matutino (São Bernardo)
11201721638;NA2MCTB010-13SA;Cálculo Vetorial e Tensorial A2-Noturno (Santo André)
11201721638;NA1ESTG001-17SB;Custos A1-Noturno (São Bernardo)
11049814;NBESZA011-17SA;Eletrônica de Potência I B-Noturno (Santo André)
11049814;NA1ESTA019-17SA;Projeto Assistido por Computador A1-Noturno (Santo André)
11049814;DB1ESZA020-17SA;Robôs Móveis Autônomos B1-Matutino (Santo André)
11202130357;DB1BCJ0204-15SA;Fenômenos Mecânicos B1-Matutino (Santo André)
11202130357;DB1BCN0407-15SA;Funções de Várias Variáveis B1-Matutino (Santo André)
11202130357;NB5BCM0505-15SA;Processamento da Informação B5-Noturno (Santo André)
11202022015;DA1ESZR002-13SB;Cultura, Identidade e Política na América Latina A1-Matutino (São Bernardo)
11202022015;DA1BHO1102-19SB;Introdução à Economia A1-Matutino (São Bernardo)
11202022015;DA1BHO0001-19SB;Introdução às Humanidades e às Ciências Sociais A1-Matutino (São Bernardo)
11202022015;DA1ESHP019-13SB;Regimes e Formas de Governo A1-Matutino (São Bernardo)
11107815;NA1ESHR001-13SB;Análise da Conjuntura Internacional Contemporânea A1-Noturno (São Bernardo)
11107815;DA1BIS0005-15SB;Bases Computacionais da Ciência A1-Matutino (São Bernardo)
11107815;DA1ESHR005-13SB;Estado e Desenvolvimento Econômico no Brasil Contemporâneo A1-Matutino (São Bernardo)
11107815;DA1BHQ0004-19SB;Estudos de Gênero A1-Matutino (São Bernardo)
11201811685;DA1ESTO013-17SB;Engenharia Econômica A1-Matutino (São Bernardo)
11201811685;NAMCTB012-13SA;Equações Diferenciais Parciais A-Noturno (Santo André)
11201811685;DIESTO008-17SB;Mecânica dos Sólidos I I-Matutino (São Bernardo)
11201811685;DAESZS031-17SB;Placas e Cascas A-Matutino (São Bernardo)
11202020486;NB2BCJ0205-15SA;Fenômenos Térmicos B2-Noturno (Santo André)
11202020486;NC1BCL0307-15SA;Transformações Químicas C1-Noturno (Santo André)
11201721630;NC1NHI5002-15SA;Didática C1-Noturno (Santo André)
11201721630;NB1BCK0104-15SA;Interações Atômicas e Moleculares B1-Noturno (Santo André)
11201721630;NA1NHI5015-15SA;LIBRAS A1-Noturno (Santo André)
11201721630;NA1MCTC007-15SB;Pesquisa e Comunicação Científica A1-Noturno (São Bernardo)
11201921313;DA1BIR0004-15SB;Bases Epistemológicas da Ciência Moderna A1-Matutino (São Bernardo)
11201921313;DB1BIQ0602-15SB;Estrutura e Dinâmica Social B1-Matutino (São Bernardo)
11201921313;DA1BCJ0204-15SB;Fenômenos Mecânicos A1-Matutino (São Bernardo)
11201921313;DA1BCN0402-15SB;Funções de Uma Variável A1-Matutino (São Bernardo)
11102814;NA1ESTA004-17SA;Circuitos Elétricos II A1-Noturno (Santo André)
11102814;NB2ESTA003-17SA;Sistemas de Controle I B2-Noturno (Santo André)
11102814;NA1ESTI020-17SA;Teoria de Filas e Análise de Desempenho A1-Noturno (Santo André)
21070012;NB5BCM0505-15SA;Processamento da Informação B5-Noturno (Santo André)
11042216;NAESTO013-17SB;Engenharia Econômica A-Noturno (São Bernardo)
11042216;NB2BCN0407-15SB;Funções de Várias Variáveis B2-Noturno (São Bernardo)
11042216;DIESTO008-17SB;Mecânica dos Sólidos I I-Matutino (São Bernardo)
11042216;NA2ESTO012-17SA;Princípios de Administração A2-Noturno (Santo André)
11042216;DA1BCS0002-15SA;Projeto Dirigido A1-Matutino (Santo André)
11042216;NANHZ6006-18SA;Proteínas Recombinantes A-Noturno (Santo André)
11201723015;DANHZ6003-18SA;Nanobiotecnologia A-Matutino (Santo André)
11201723015;DANHZ6006-18SA;Proteínas Recombinantes A-Matutino (Santo André)
11201723015;NA1NHZ6007-18SA;Segurança e Regulamentação em Biotecnologia A1-Noturno (Santo André)
11201723015;DA1NHZ6002-18SA;Tecnologia de Fermentações A1-Matutino (Santo André)
11202131095;DB1BIS0003-15SB;Bases Matemáticas B1-Matutino (São Bernardo)
11202131095;DB1BCL0306-15SB;Biodiversidade: Interações entre organismos e ambiente B1-Matutino (São Bernardo)
11202131095;DA1BHO1102-19SB;Introdução à Economia A1-Matutino (São Bernardo)
11202131095;DA1BIN0406-15SB;Introdução à Probabilidade e à Estatística A1-Matutino (São Bernardo)
11201920527;DA1ESTA004-17SA;Circuitos Elétricos II A1-Matutino (Santo André)
11201920527;NAESTO013-17SA;Engenharia Econômica A-Noturno (Santo André)
